Year,Month,Quantity
2005,Jan,2564000
2005,Feb,2644800
2005,Mar,3151100
2005,Apr,3009300
2005,May,3174900
2005,Jun,3641700
2005,Jul,3221000
2005,Aug,2951900
2005,Sep,3150900
2005,Oct,3666400
2005,Nov,3816800
2005,Dec,2592900
2006,Jan,2996800
2006,Feb,2572700
2006,Mar,3563200
2006,Apr,2807500
2006,May,3469800
2006,Jun,3359400
2006,Jul,3735300
2006,Aug,3169100
2006,Sep,3786300
2006,Oct,3996500
2006,Nov,3296900
2006,Dec,3377400
2007,Jan,3504100
2007,Feb,3004800
2007,Mar,3358900
2007,Apr,4162700
2007,May,3880000
2007,Jun,3808700
2007,Jul,3651700
2007,Aug,3842900
2007,Sep,3420000
2007,Oct,4210300
2007,Nov,3484500
2007,Dec,2865100
2008,Jan,3361200
2008,Feb,2937900
2008,Mar,2535600
2008,Apr,3244600
2008,May,3681900
2008,Jun,3914700
2008,Jul,3751800
2008,Aug,2799400
2008,Sep,3046400
2008,Oct,3915900
2008,Nov,3703900
2008,Dec,3908800
2009,Jan,3479200
2009,Feb,3056000
2009,Mar,3435600
2009,Apr,4034800
2009,May,3456600
2009,Jun,4136300
2009,Jul,3939300
2009,Aug,2774100
2009,Sep,3136600
2009,Oct,3427900
2009,Nov,3442100
2009,Dec,3064800
2010,Jan,2980940
2010,Feb,2543810
2010,Mar,4053070
2010,Apr,3780263
2010,May,3361031
2010,Jun,3413955
2010,Jul,3601521
2010,Aug,3104785
2010,Sep,3063323
2010,Oct,2823423
2010,Nov,2826957
2010,Dec,2896653
2011,Jan,3486432
2011,Feb,2272761
2011,Mar,3722485
2011,Apr,3457837
2011,May,4583359
2011,Jun,3693222
2011,Jul,3713606
2011,Aug,4187818
2011,Sep,3817761
2011,Oct,3457149
2011,Nov,3204593
2011,Dec,2978886
2012,Jan,3997215
2012,Feb,2486510
2012,Mar,3642832
2012,Apr,2966433
2012,May,3734555
2012,Jun,3389073
2012,Jul,3451807
2012,Aug,3820652
2012,Sep,2996265
2012,Oct,3847256
2012,Nov,2766628
2012,Dec,3109657
2013,Jan,3741018
2013,Feb,2823059
2013,Mar,3148078
2013,Apr,3748784
2013,May,3632762
2013,Jun,3521023
2013,Jul,4857302
2013,Aug,3288557
2013,Sep,3874609
2013,Oct,4128642
2013,Nov,3209409
2013,Dec,3098704
2014,Jan,3573653
2014,Feb,2987131
2014,Mar,3341296
2014,Apr,3545412
2014,May,3747459
2014,Jun,3085433
2014,Jul,3984329
2014,Aug,3319037
2014,Sep,4101419
2014,Oct,4194958
2014,Nov,3464652
2014,Dec,2906392
2015,Jan,3160717
2015,Feb,3117672
2015,Mar,3795125
2015,Apr,3549423
2015,May,3339469
2015,Jun,4035514
2015,Jul,4178931
2015,Aug,3462810
2015,Sep,4164317
2015,Oct,3472278
2015,Nov,3546622
2015,Dec,2859646
2016,Jan,3854003
2016,Feb,3375663
2016,Mar,3925945
2016,Apr,3978992
2016,May,3780736
2016,Jun,5205397
2016,Jul,3904757
2016,Aug,4133674
2016,Sep,4083571
2016,Oct,3926361
2016,Nov,3700333
2016,Dec,2873102
2017,Jan,3504490
2017,Feb,3006523
2017,Mar,4161912
2017,Apr,3151066
2017,May,4040752
2017,Jun,4458269
2017,Jul,3294645
2017,Aug,3692502
2017,Sep,3712253
2017,Oct,4510236
2017,Nov,5075057
2017,Dec,3355121
2018,Jan,4702874
2018,Feb,3833372
2018,Mar,4331516
2018,Apr,3798156
2018,May,4275296
2018,Jun,4010648
2018,Jul,3641725
2018,Aug,3648494
2018,Sep,4464701
2018,Oct,4591895
2018,Nov,4984959
2018,Dec,3175690
2019,Jan,5152609
2019,Feb,3670857
2019,Mar,3755968
2019,Apr,4251229
2019,May,4846991
2019,Jun,3256083
2019,Jul,5704152
2019,Aug,3354948
2019,Sep,4313563
2019,Oct,5228220
2019,Nov,4112687
2019,Dec,3658694
